sku,name,description,price,category,active
SKU-001,Laptop,High-performance laptop for professionals,999.99,Electronics,true
SKU-002,Wireless Mouse,Ergonomic wireless mouse,29.99,Accessories,true
SKU-003,USB-C Cable,Premium USB-C charging cable,14.99,Accessories,true
SKU-004,Mechanical Keyboard,Backlit mechanical keyboard with RGB lighting,79.99,Accessories,true
SKU-005,Gaming Headset,Surround sound gaming headset with mic,59.99,Accessories,true
SKU-006,Smartphone,Latest model smartphone with OLED display,799.99,Electronics,true
SKU-007,Tablet,10-inch tablet for work and entertainment,399.99,Electronics,true
SKU-008,External Hard Drive,1TB portable external hard drive,59.99,Accessories,true
SKU-009,Monitor 24 inch,Full HD 24-inch monitor,149.99,Electronics,true
SKU-010,Monitor 27 inch,4K UHD 27-inch monitor,329.99,Electronics,true
SKU-011,Bluetooth Speaker,Portable Bluetooth speaker with deep bass,49.99,Electronics,true
SKU-012,Webcam HD,1080p HD webcam for video calls,39.99,Accessories,true
SKU-013,Laptop Stand,Adjustable aluminum laptop stand,34.99,Accessories,true
SKU-014,Wireless Charger,Fast wireless charging pad,24.99,Accessories,true
SKU-015,Power Bank,10000mAh portable power bank,29.99,Accessories,true
SKU-016,Noise Cancelling Headphones,Over-ear active noise cancelling headphones,199.99,Electronics,true
SKU-017,Smartwatch,Fitness tracking smartwatch with heart rate monitor,149.99,Electronics,true
SKU-018,Keyboard and Mouse Combo,Wireless keyboard and mouse combo,49.99,Accessories,true
SKU-019,USB Hub,Multi-port USB 3.0 hub,19.99,Accessories,true
SKU-020,Graphics Tablet,Digital drawing tablet with stylus,89.99,Electronics,true
SKU-021,Router WiFi 6,High-speed WiFi 6 router,129.99,Electronics,true
SKU-022,Microphone USB,Studio-quality USB microphone,79.99,Accessories,true
SKU-023,LED Desk Lamp,Dimmable LED desk lamp with USB port,29.99,Accessories,true
SKU-024,Portable SSD,500GB high-speed portable SSD,99.99,Electronics,true
SKU-025,VR Headset,Virtual reality headset for immersive gaming,299.99,Electronics,true
SKU-026,Drone Camera,Compact drone with 4K camera,499.99,Electronics,true
SKU-027,Smart Home Hub,Central hub for smart home devices,99.99,Electronics,true
SKU-028,Action Camera,Waterproof 4K action camera,149.99,Electronics,true
SKU-029,Earbuds Wireless,True wireless earbuds with charging case,59.99,Accessories,true
SKU-030,Car Charger USB,Dual-port USB car charger,14.99,Accessories,true
SKU-031,HDMI Cable,High-speed HDMI cable 2m,12.99,Accessories,true
SKU-032,Desk Mat,Large non-slip desk mat,19.99,Accessories,true
